POS,beautifully crafted and cooly unsettling . . . recreates the atmosphere of the crime expertly .,magnifiquement conçu et cooly troublant . . . recrée de manière experte l ' atmosphère du crime .,สร้างขึ้นอย่างสวยงามและไม่มั่นคงเย็นตา . . สร้างบรรยากาศของอาชญากรรมอย่างเชี่ยวชาญ,شيدت بشكل جميل وغير مستقر ... رائع ... بخلق خلق جو من الجريمة.,美しく細工された冷静な不安 。 。 。 犯罪の雰囲気を巧みに再現します 。,精美的制作和苦恼令人不安 。 。 。 专业地重现犯罪的气氛 。
POS,at its best . . . festival in cannes bubbles with the excitement of the festival in cannes .,à son meilleur . . . festival à cannes bouillonne avec l ' excitation du festival à cannes .,อย่างดีที่สุด . . เทศกาลในฟองสบู่เมืองแคนนอนด้วยความตื่นเต้นของเทศกาลในเมืองแคนนอน,الأفضل .. مهرجان في فقاعات المدفع بإثارة المهرجان في مدفع,その最高の状態で 。 。 。 カンヌの祭りはカンヌの祭りの興奮で泡立ちます 。,处于最佳状态 。 。 。 在戛纳的节日泡沫与戛纳电影节的兴奋 。
POS,a deliciously nonsensical comedy about a city coming apart at its seams .,une comédie délicieusement absurde sur une ville qui se désagrège .,หนังตลกที่ไร้สาระโอชะเกี่ยวกับเมืองที่แยกตัวออกมาจากตะเข็บ,كوميديا ​​سخيفة لذيذ عن المدينة التي تفصل نفسها عن التماس.,その継ぎ目でバラバラになっている都市についての美味しく無意味なコメディ 。,关于一个城市在接缝处分开的美妙无意的喜剧 。
POS,"it ' s hard not to be seduced by [witherspoon ' s] charisma , even in this run - of - the - mill vehicle , because this girl knows how to drive it to the max .","difficile de ne pas se laisser séduire par le charisme de [witherspoon] , même dans ce véhicule banal , parce que cette fille sait le conduire au maximum .",เป็นเรื่องยากที่จะไม่ถูกล่อลวงโดยความสามารถพิเศษของ [witherspoon] แม้ในยานพาหนะที่ต้องวิ่งหนีเพราะผู้หญิงคนนี้รู้วิธีขับรถให้สูงสุด,من الصعب عدم إغراء مواهبك الخاصة [witherspoon] حتى في السيارة التي يجب أن تهرب لأن هذه المرأة تعرف كيف تقود إلى الحد الأقصى,この少女が走る車の中でさえ 、 [ウィザースプーン]のカリスマ性によって誘惑されないのは難しい 。,很难不被[witherspoon]的魅力诱惑 ， 即使在这种普通的车辆中也是如此 ， 因为这个女孩知道如何将它驱动到最大程度 。
POS,"what a concept , what an idea , what a thrill ride . this is a more fascinating look at the future than "" bladerunner "" and one of the most high - concept sci fi adventures attempted for the screen .","quel concept , quelle idée , quel frisson . il s’agit d’un regard plus fascinant sur l’avenir que «bladerunner» et l’une des aventures de science - fiction les plus conceptuelles que l’on ait tentées pour l’écran .",แนวคิดอะไรความคิดอะไรตื่นเต้นอะไรบ้าง นี่เป็นภาพลักษณ์ที่น่าสนใจในอนาคตมากกว่า "bladerunner" และเป็นหนึ่งในการผจญภัยทางไซไฟแนวความคิดที่สูงที่สุดสำหรับหน้าจอ,ما الأفكار والأفكار والإثارة؟ هذه صورة أكثر إثارة للاهتمام في المستقبل. "bladerunner" وواحدة من أعلى مغامرات الخيال العلمي على الشاشة.,どのようなコンセプト 、 どのようなアイデア 、 どのようなスリルライド 。 これは " bladerunner " や最もハイコンセプトなsfの冒険よりも未来を見据えたものです 。,什么是概念 ， 什么是想法 ， 什么是惊险刺激 。 对于未来而言 ， 这是一个比 “ bladerunner ” 更为迷人的外观 ， 也是为屏幕而尝试的最具概念性的科幻冒险之一 。
POS,the spark of special anime magic here is unmistakable and hard to resist .,l ' étincelle de la magie spéciale des dessins animés ici est indéniable et difficile à résister .,จุดประกายของเวทมนตร์อะนิเมะพิเศษที่นี่เป็นแน่แท้และต้านทานได้ยาก,شرارة سحر أنيمي الخاص هنا لا لبس فيها ويصعب مقاومتها.,ここでの特別なアニメの魔法の火花は紛れもなく抵抗するのが難しいです 。,这里特殊动漫魔法的火花是明白无误的 ， 难以抗拒 。
POS,"what makes the movie work — to an admittedly limited extent — is the commitment of two genuinely engaging performers . weaver and lapaglia are both excellent , in the kind of low - key way that allows us to forget that they are actually movie folk .","ce qui fait que le film fonctionne - dans une mesure certes limitée - est l’engagement de deux interprètes véritablement engageants . weaver et lapaglia sont tous deux excellents , du genre discret qui nous permet d’oublier qu’ils sont en réalité des cinéphiles .",สิ่งที่ทำให้งานภาพยนตร์ - เป็นที่ยอมรับอย่าง จำกัด คือความมุ่งมั่นของนักแสดงสองคนที่มีส่วนร่วมอย่างแท้จริง ผู้ประกอบและ Lapaglia นั้นยอดเยี่ยมทั้งในแบบที่เป็นกุญแจสำคัญต่ำที่ทำให้เราลืมได้ว่าพวกเขาเป็นคนดูหนังจริง ๆ,الشيء الذي جعل الفيلم - القبول المحدود هو التزام ممثلين اثنين كانا متورطين حقًا ، كان ويفر ولاباليا ممتازين ، كلاهما بطراز منخفض المستوى ، مما جعلنا ننسى أنهما كانا كذلك. يرى الناس الحقيقي الناس,映画の作品を （ 確かに限られた範囲で ） 作品にしているのは 、 2人の真に魅力的なパフォーマーのコミットメントです 。 ウィーバーとラパリアはどちらも優れており 、 それらが実際に映画のフォークであることを忘れることができるような控えめな方法です 。,是什么让电影工作 - 在公认的有限程度 - 是两个真正有吸引力的表演者的承诺 。 韦弗和拉帕利亚都是优秀的 ， 以低调的方式让我们忘记他们实际上是电影民谣 。
POS,"a poignant , artfully crafted meditation on mortality .",une méditation poignante et astucieuse sur la mortalité .,การทำสมาธิอย่างฉุนเฉียวซึ่งประดิษฐ์ขึ้นอย่างชำนาญในเรื่องความเป็นมรรตัย,الغضب التأمل ، والتي وضعت بمهارة في الوفيات.,致命的で巧妙に作られた瞑想,对死亡率的深刻 ， 巧妙的冥想 。
POS,"time out is as serious as a pink slip . and more than that , it ' s an observant , unfussily poetic meditation about identity and alienation .","le temps mort est aussi sérieux qu’un feuillet rose . et plus que cela , c ' est une méditation observatrice , peu poétique sur l ' identité et l ' aliénation .",การหมดเวลามีความสำคัญเท่ากับการลื่นสีชมพู และยิ่งกว่านั้นมันเป็นนักสังเกตการณ์การทำสมาธิบทกวีเกี่ยวกับตัวตนและความแปลกแยก,التوقيت مهم مثل الانزلاق الوردي. وعلاوة على ذلك ، فهو مراقب والتأمل والشعر عن الهوية والتغريب,タイムアウトはピンクのスリップと同じくらい深刻です 。 それ以上に 、 それはアイデンティティと疎外感についての注意深く 、 見苦しい詩的な瞑想です 。,超时和粉红色一样严重 。 更重要的是 ， 这是一种关于身份和异化的一种观察性的 ， 毫不含糊的诗意冥想 。
POS,photographed with melancholy richness and eloquently performed yet also decidedly uncinematic .,photographié avec une richesse mélancolique et exécuté avec éloquence mais aussi résolument peu cinématique .,ถ่ายภาพด้วยความโศกเศร้าเศร้าโศกและแสดงอย่างไม่ปราณี,التقاط الصور مع الحزن والحزن وإظهار بلا رحمة.,憂鬱な豊かさで撮影され 、 雄弁にも演じられていますが 、 それでも明らかに意外性があります 。,拍摄时带着忧郁的丰富和雄辩的表演 ， 但也显然是非常的 。
POS,"try as you might to scrutinize the ethics of kaufman ' s approach , somehow it all comes together to create a very compelling , sensitive , intelligent and almost cohesive piece of film entertainment .","essayez comme vous le feriez d ' examiner scrupuleusement l ' éthique de l ' approche de kaufman . tout se combine pour créer un divertissement cinématographique très convaincant , sensible , intelligent et presque cohérent .",ลองทำตามที่คุณอาจจะตรวจสอบจริยธรรมของวิธีการของคอฟแมนทุกอย่างมารวมกันเพื่อสร้างความบันเทิงที่น่าดึงดูดใจอ่อนไหวฉลาดและเกือบจะเหนียวแน่น,جرّب كما لو كنت تتفقد أخلاقيات أساليب Kauffman ، فكل شيء يجمع معًا لخلق ترفيه جذاب وحساس وذكي ويكاد يكون ثابتًا.,あなたがカウフマンのアプローチの倫理を精査するようにしてみてください 、 どういうわけかそれはすべて一緒になって 、 非常に説得力があり 、 敏感で 、 知的で 、 そしてほとんどまとまりのある映画エンターテインメント作品を作成します 。,尽可能地仔细检查考夫曼方法的道德规范 ， 不知何故 ， 它们共同创造了一个非常引人注目 ， 敏感 ， 智能且几乎具有凝聚力的电影娱乐片段 。
POS,"disney ' s live - action division has a history of releasing cinematic flotsam , but this is one occasion when they have unearthed a rare gem .","la division de l’action en direct de disney a pour tradition de lancer des films cinématographiques , mais c’est l’occasion pour elle de découvrir un joyau rare .",แผนกไลฟ์แอ็กชันของดิสนีย์มีประวัติว่าด้วยการปลดปล่อย flotsam ในโรงภาพยนตร์ แต่นี่เป็นโอกาสหนึ่งที่พวกเขาได้ขุดหาอัญมณีที่หายาก,يتمتع قسم الحركة الحية في ديزني بتاريخ حافل من إطلاق flotsam في دور السينما. ولكن هذه هي إحدى الفرص التي حفروها للعثور على جواهر نادرة.,ディズニーの実写部門は映画の漂流物を放出した歴史がありますが 、 これは彼らがまれな宝石を発掘したときの1つの機会です 。,迪士尼的真人版有着释放电影漂浮物的历史 ， 但这是有一次他们发掘出一种罕见的宝石 。
POS,"emerges as something rare , an issue movie that ' s so honest and keenly observed that it doesn ' t feel like one .","apparaît comme une chose rare , un film très honnête et profondément observé qui n’en a pas l’impression .",ปรากฏว่าเป็นสิ่งที่หายากภาพยนตร์เรื่องที่ซื่อสัตย์และสังเกตุอย่างเห็นได้ชัดว่ามันไม่รู้สึกเหมือนกัน,يبدو شيئًا نادرًا ، فالفيلم صادق وملحوظ أنه لا يشعر بالشيء نفسه.,非常に誠実で鋭く観察された映画では 、 それは1つのようには感じられないというまれな問題として浮上しています 。,作为一种罕见的东西出现 ， 这是一部如此诚实和敏锐地观察到它不像一个问题的电影 。
POS,charming and funny ( but ultimately silly ) movie .,film charmant et drôle ( mais finalement idiot ) .,ภาพยนตร์ที่มีเสน่ห์และตลก (แต่ท้ายที่สุดโง่),فيلم ساحر ومضحك ( ولكن في النهاية غبي ),魅力的で面白い （ しかし最終的にはばかげた ） 映画 。,迷人而有趣 （ 但最终是愚蠢的 ） 电影 。
POS,"disney aficionados will notice distinct parallels between this story and the 1971 musical "" bedknobs and broomsticks , "" which also dealt with british children rediscovering the power of fantasy during wartime .","les aficionados de disney remarqueront des parallèles distincts entre cette histoire et la comédie musicale "" bedknobs and broomsticks "" de 1971 , qui traitait également des enfants britanniques qui redécouvraient le pouvoir de la fantaisie en temps de guerre .",ผู้หลงใหลในดิสนีย์จะสังเกตเห็นความแตกต่างระหว่างเรื่องนี้กับ "ละครเรื่องเตียงและด้ามไม้กวาด" ในปี 1971 ซึ่งจัดการกับเด็กชาวอังกฤษค้นพบพลังแห่งจินตนาการในช่วงสงคราม,سيكون عشاق ديزني تلاحظ الفرق بين هذا و " ملكة الدراما والعصا " في 1971 ، والذي صفقة مع بريطانيا اكتشفت قوة الخيال في الحرب.,ディズニーの熱狂的ファンは 、 この物語と戦時中のファンタジーの力を再発見した英国の子供たちをも対象とした1971年のミュージカル「ベッドノブとほうき」との間の明確な類似点に気付くでしょう 。,迪士尼爱好者将注意到这个故事与1971年的音乐剧 “ 床上用品和扫帚 ” 之间的明显相似之处 ， 这也是英国儿童在战时重新发现幻想的力量 。
POS,"it ' s like a "" big chill "" reunion of the baader - meinhof gang , only these guys are more harmless pranksters than political activists .","c ' est comme une réunion "" big chill "" du gang baader - meinhof , seulement ces types sont des farceurs plus inoffensifs que des activistes politiques .",มันเหมือนการรวมตัวกันใหม่ของ "กลุ่มเย็น" ของกลุ่ม baader - meinhof มี แต่พวกเหล่านี้เท่านั้นที่เป็นนักเล่นพิเรนเจอร์ที่ไม่เป็นอันตรายมากกว่านักกิจกรรมทางการเมือง,انها مثل مزيج من " البرد " مجموعة بادر - ماينهوف هناك ، ولكن هذه ليست سوى مزحة هو مخلوق غير ضارة بدلا من النشطاء السياسيين.,それはbaader - meinhofギャングの「大きな悪寒」の再会のようなものです 。 これらの人たちだけが政治活動家より無害な悪ふざけ者です 。,这就像baader - meinhof团伙的 “ 大寒 ” 重逢 ， 只有这些家伙比政治活动家更无害的恶作剧者 。
POS,an original gem about an obsession with time .,un joyau original sur une obsession du temps .,อัญมณีดั้งเดิมเกี่ยวกับความหลงไหลตามกาลเวลา,المجوهرات الأصلية حول هاجس الوقت,時間とのこだわりについてのオリジナルの宝石 。,关于对时间的痴迷的原创宝石 。
POS,"stands as one of the year ' s most intriguing movie experiences , letting its imagery speak for it while it forces you to ponder anew what a movie can be .","il s’agit de l’une des expériences cinématographiques les plus intrigantes de l’année . laisser l’imagerie en parler , tout en vous obligeant à réfléchir à nouveau à ce qu’est un film .",ย่อมาจากหนึ่งในประสบการณ์ภาพยนตร์ที่น่าสนใจที่สุดแห่งปีปล่อยให้ภาพพูดออกมาในขณะที่มันบังคับให้คุณไตร่ตรองอีกครั้งว่าภาพยนตร์เรื่องนี้จะเป็นอย่างไร,لتقف على واحدة من أكثر تجارب الأفلام إثارة للاهتمام خلال العام. دع الصور تتحدث لأنها تجبرك على التفكير مرة أخرى في شكل الفيلم.,それはあなたに映画が何であり得るのかを新たに考えさせることを強いる一方で 、 その画像がそれを代弁することを可能にし 、 その年の最も興味をそそる映画経験の一つとして立っています 。,作为年度最有趣的电影体验之一 ， 让它的形象代表它 ， 同时它迫使你重新思考电影是什么 。
POS,"take any 12 - year - old boy to see this picture , and he ' ll be your slave for a year .",prenez n ' importe quel garçon de 12 ans pour voir cette photo et il sera votre esclave pendant un an .,พาเด็กชายอายุ 12 ปีไปดูรูปนี้แล้วเขาจะเป็นทาสของคุณเป็นเวลาหนึ่งปี,خذ صبيًا عمره 12 عامًا لإلقاء نظرة على هذه الصورة ، وسوف يكون عبدك لمدة عام.,この写真を見るために12歳の男の子を連れて行ってください 、 そして彼は1年間あなたの奴隷になるでしょう 。,带任何12岁的男孩看这张照片 ， 他将成为你的奴隶一年 。
POS,among the year ' s most intriguing explorations of alientation .,parmi les explorations les plus intrigantes de l’alientation .,ท่ามกลางการสำรวจที่น่าสนใจที่สุดของปี,من بين أكثر الدراسات الاستقصائية إثارة للاهتمام لهذا العام,今年の最も興味をそそられる誘惑の探求の中で 。,在这一年最有趣的定位探索中 。
POS,there are some wonderfully fresh moments that smooth the moral stiffness with human kindness and hopefulness .,il y a des moments merveilleusement frais qui atténuent la rigidité morale avec la gentillesse et l ' espoir humains .,มีบางช่วงเวลาใหม่ที่น่าอัศจรรย์ที่ทำให้ความแข็งทางศีลธรรมราบรื่นด้วยความเมตตาของมนุษย์และความหวัง,هناك بعض اللحظات المعجزة الجديدة التي تمنع الصلابة الأخلاقية بالتعاطف الإنساني والأمل.,人間の優しさと希望を持って道徳的なこわばりを滑らかにするいくつかの素晴らしく新鮮な瞬間があります 。,有一些奇妙的新鲜时刻 ， 通过人类的善良和充满希望来平息道德僵化 。
POS,"the film does a solid job of slowly , steadily building up to the climactic burst of violence .",le film fait un travail solide de construction lente et continue jusqu ' à l ' éclatement violent de la violence .,ภาพยนตร์เรื่องนี้ทำหน้าที่อย่างช้าๆและสร้างความรุนแรงอย่างต่อเนื่อง,هذا الفيلم يعمل ببطء وبشكل مستمر يخلق العنف.,この映画はゆっくりと着実に強烈な暴力の激増に立ち向かうという堅実な仕事をしている 。,这部电影做得很好 ， 缓慢 ， 稳定地建立起了暴力的高潮 。
POS,"whatever heartwarming scene the impressively discreet filmmakers may have expected to record with their mini dv , they show a remarkable ability to document both sides of this emotional car - wreck .","quelle que soit la scène réconfortante que les cinéastes très discrets auraient pu s’attendre à enregistrer avec leur mini - dv , ils démontrent une capacité remarquable à documenter les deux côtés de ce naufrage émotionnel .",ไม่ว่าฉากที่อบอุ่นจะเป็นอย่างไรผู้สร้างภาพยนตร์ที่สุขุมน่าประทับใจอาจคาดหวังที่จะบันทึกด้วย mini dv ของพวกเขาพวกเขาแสดงความสามารถที่โดดเด่นในการบันทึกทั้งสองด้านของซากรถอารมณ์นี้,بصرف النظر عن المشهد الدافئ ، قد يتوقع صناع الأفلام المتميزين والمميزين تسجيل أنفسهم باستخدام محرك الأقراص المصغر الخاص بهم ، حيث يظهرون قدرة رائعة على التسجيل على جانبي حطام السيارة العاطفي هذا.,印象的で目立たない映画製作者が彼らのミニdvで記録することを期待していたどんな心温まる場面でも 、 彼らはこの感情的な自動車事故の両側を記録する驚くべき能力を示します 。,无论那些令人印象深刻的电影制作人可能期望用他们的迷你dv录制的任何温馨的场景 ， 他们都表现出非凡的能力来记录这种情绪化的汽车残骸的双方 。
POS,"like its title character , this nicholas nickleby finds itself in reduced circumstances - - and , also like its hero , it remains brightly optimistic , coming through in the end .","comme son personnage principal , ce nicholas nickleby se trouve dans une situation réduite - et , tout comme son héros , il reste extrêmement optimiste .",เช่นเดียวกับตัวละครในชื่อนิโคลัสนิคเกิลบี้พบว่าตัวเองอยู่ในสถานการณ์ที่ลดน้อยลง - และเช่นเดียวกับฮีโร่ของมันมันยังคงมองโลกในแง่ดีเจิดจ้า,مثل شخصية نيكولاس نيكولاس ، وجد نفسه في وضع متناقص - ومثل بطله ، فإنه لا يزال متفائلاً بشكل مشرق.,このニコラス・ニックルビーは 、 そのタイトルキャラクターのように 、 状況が劣っていることに気づいています 。 そして 、 そのヒーローのように 、 明るく楽観的なままで 、 やがて終わりを迎えます 。,就像它的标题性格一样 ， 这个尼古拉斯 · 尼克勒比发现自己处于堕落的环境中 - 而且 ， 就像它的英雄一样 ， 它仍然保持着明亮的乐观 ， 最终会出现 。
POS,"smart and fun , but far more witty than it is wise .","intelligent et amusant , mais beaucoup plus spirituel qu’il est sage .",ฉลาดและสนุก แต่มีไหวพริบมากกว่าที่ฉลาด,ذكي وممتع ولكن أكثر ذكاء,スマートで楽しい 、 しかしそれが賢いよりはるかに機知に富んだ 。,聪明而有趣 ， 但比明智更诙谐 。
POS,"ice age won ' t drop your jaw , but it will warm your heart , and i ' m giving it a strong thumbs up .","l ' âge de glace ne laissera pas tomber votre mâchoire , mais cela réchauffera votre cœur , et je lui donne un grand coup de pouce .",ยุคน้ำแข็งจะไม่กรามของคุณ แต่มันจะทำให้หัวใจของคุณอบอุ่นและฉันจะยกนิ้วให้,العصر الجليدي لن يكون فكك. ولكن هذا سوف يسخن قلبك وسأقدم لك إبهامًا,氷河期はあなたのあごを落とすことはありませんが 、 それはあなたの心を温めるでしょう 、 そして私はそれに強い親指をあきらめています 。,冰河时代不会让你的下巴掉下来 ， 但它会温暖你的心脏 ， 我会给它一个强烈的大拇指 。
POS,a well paced and satisfying little drama that deserved better than a ‘direct - to - video ' release .,un petit drame bien rythmé et satisfaisant qui méritait mieux qu’une sortie «directe sur vidéo» .,ละครเล็ก ๆ ที่น่าเล่นและน่าพอใจซึ่งสมควรได้รับการปล่อยตัวดีกว่ารีลีส to direct-to-video ',مسرح الناس للعب ومرضية، والذي ينبغي أن يطلق سراحهم خلال بيان إلى توجيه إلى الفيديو.,「ビデオに直接」のリリースよりも値する 、 ペースの良い 、 満足のいく小さなドラマ 。,一个节奏很好 ， 令人满意的小剧 ， 应该比 “ 直接视频 ” 发行更好 。
POS,"with each of her three protagonists , miller eloquently captures the moment when a woman ' s life , out of a deep - seated , emotional need , is about to turn onto a different path .","avec chacun de ses trois protagonistes , miller résume avec éloquence le moment où la vie d ' une femme , issue d ' un besoin profond et émotionnel , est sur le point de prendre un chemin différent .",กับผู้ให้ความช่วยเหลือทั้งสามคนของเธอมิลเลอร์ได้รวบรวมช่วงเวลาที่ชีวิตของผู้หญิงออกมาจากความต้องการทางอารมณ์ที่ฝังลึกและลึกซึ้งกำลังจะเปลี่ยนไปสู่เส้นทางที่แตกต่างกัน,مع كل ثلاثة من مساعديها ، جمعت ميلر لحظة تكون فيها حياة المرأة ناتجة عن احتياجات عاطفية عميقة وعميقة على وشك الانتقال إلى مسار مختلف.,彼女の3人の主人公それぞれと 、 ミラーは根深い 、 感情的な必要性から 、 女性の人生が別の道に回ろうとしている瞬間を雄弁に捕えます 。,米勒与她的三个主角中的每一个都雄辩地抓住了一个女人的生活 ， 即出于根深蒂固的情感需求 ， 即将走上另一条道路的那一刻 。
POS,"you could say that it ' s slow at times , you could say that a few of the characters act in ways that real people wouldn ' t , but one thing you couldn ' t say is that alias betty is predictable .","vous pourriez dire que c ' est parfois lent , vous pouvez dire que quelques personnages agissent d ' une manière que les vraies personnes ne feraient pas , mais une chose que vous ne pouvez pas dire , c ' est que alias betty est prévisible .",คุณสามารถพูดได้ว่ามันช้าในบางครั้งคุณสามารถพูดได้ว่าตัวละครบางตัวดำเนินไปในแบบที่คนจริง ๆ ไม่อยากทำ แต่สิ่งหนึ่งที่คุณไม่สามารถพูดได้ก็คือว่านามแฝงเบ็ตตี้สามารถคาดเดาได้,هل يمكن القول أنها بطيئة في بعض الأحيان، يمكن القول أن بعض الشخصيات أداء في شخص حقيقي و ليس تريد أن تفعل ، ولكن الشيء الوحيد الذي يمكن أن أقوله هو أن الاسم المستعار بيتي يمكن التنبؤ به.,あなたはそれが時々遅いと言うことができます 、 あなたはあなたが言うことができない1つのことはエイリアスbettyが予測可能であるということです 。,你可以说它有时很慢 ， 你可以说一些角色的表现方式与真正的人不同 ， 但有一点你不能说别名贝蒂是可预测的 。
